Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";"Now Publishers Inc";No;No;22,797;Q1;42;5;12;1326;1613;12;48,33;265,20;25,00;1;0;United States;Northern America;"Now Publishers Inc";"2008-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;6,260;Q1;196;85;334;9424;11357;313;33,30;110,87;31,92;2;14;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;21100886132;"Science Robotics";journal;"24709476";"American Association for the Advancement of Science";No;No;5,940;Q1;122;134;304;5737;5900;260;19,26;42,81;26,66;0;18;United States;Northern America;"American Association for the Advancement of Science";"2016-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
4;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;5,876;Q1;94;177;484;9104;9769;353;18,44;51,44;27,87;2;20;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
5;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;5,217;Q1;51;140;180;9490;5897;179;30,12;67,79;38,94;2;44;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
6;21101136681;"Internet of Things and Cyber-Physical Systems";journal;"26673452";"KeAi Communications Co.";Yes;No;3,952;Q1;23;28;49;1693;1755;48;38,25;60,46;28,21;0;14;China;Asiatic Region;"KeAi Communications Co.";"2021-2024";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
7;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";"IEEE Computer Society";No;No;3,910;Q1;435;812;2070;65710;47377;2059;21,19;80,92;27,12;0;15;United States;Northern America;"IEEE Computer Society";"1978-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science; Mathematics"
8;21100367773;"IEEE/CAA Journal of Automatica Sinica";journal;"23299266, 23299274";"IEEE Advancing Technology for Humanity";No;No;3,863;Q1;99;288;595;11342;9257;483;14,69;39,38;29,76;0;22;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2025";"Artificial Intelligence (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
9;21101073279;"Annual Review of Control, Robotics, and Autonomous Systems";journal;"25735144";"Annual Reviews Inc.";No;No;3,690;Q1;46;17;71;1864;1324;71;17,07;109,65;22,22;1;6;United States;Northern America;"Annual Reviews Inc.";"2018-2024";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1)";"Computer Science; Engineering"
10;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";"IEEE Computational Intelligence Society";No;No;3,686;Q1;269;1991;2021;97654;31905;2010;13,72;49,05;29,47;0;95;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)";"Computer Science"
11;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,614;Q1;228;646;1148;28848;14780;1144;12,76;44,66;31,30;0;45;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering; Mathematics"
12;21101274787;"Foundations and Trends in Robotics";book series;"19358253, 19358261";"Now Publishers Inc";No;No;3,370;Q1;3;2;5;1176;83;5;16,60;588,00;27,27;0;2;United States;Northern America;"Now Publishers Inc";"2022-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering"
13;21101101212;"AI Open";journal;"26666510";"KeAi Communications Co.";Yes;No;3,212;Q1;23;21;62;1049;1406;60;19,85;49,95;24,73;0;1;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
14;21100869486;"Computational Visual Media";journal;"20960662, 20960433";"Institute of Electrical and Electronics Engineers Inc.";Yes;Yes;3,166;Q1;31;59;137;3507;2768;131;19,85;59,44;30,28;0;1;China;Asiatic Region;"Institute of Electrical and Electronics Engineers Inc.";"2015-2024";"Artificial Intelligence (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1)";"Computer Science"
15;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;3,136;Q1;232;373;486;29783;9156;476;12,79;79,85;27,85;0;13;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
16;21101055750;"Radiology: Artificial Intelligence";journal;"26386100";"Radiological Society of North America Inc.";No;No;3,128;Q1;47;102;208;2442;2045;162;10,42;23,94;31,05;0;33;United States;Northern America;"Radiological Society of North America Inc.";"2019-2025";"Artificial Intelligence (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
17;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";"Springer Netherlands";No;No;3,010;Q1;138;348;760;43594;15730;759;19,58;125,27;30,70;4;74;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
18;21100976127;"IEEE Transactions on Intelligent Vehicles";journal;"23798858";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,821;Q1;74;795;591;19633;8385;582;14,07;24,70;24,59;0;200;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2024";"Artificial Intelligence (Q1); Automotive Engineering (Q1); Control and Optimization (Q1)";"Computer Science; Engineering; Mathematics"
19;21100854831;"IEEE Transactions on Cognitive Communications and Networking";journal;"23327731";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,541;Q1;65;292;366;13109;3679;362;8,59;44,89;27,28;0;44;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1)";"Computer Science"
20;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;2,384;Q1;77;143;308;8588;680;42;2,30;60,06;32,19;0;12;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
21;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";"SAGE Publications Inc.";No;No;2,333;Q1;202;150;189;10568;1937;171;7,50;70,45;18,83;0;21;United States;Northern America;"SAGE Publications Inc.";"1982-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
